All statistics are based on contigs of size >= 1000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    DTU_2021_1010100_1_MG_Nuuk_ID116_S2_StV23B_5_10_out2_scaffolds  DTU_2021_1010012_1_MG_Nar_ID18_SFB_P5_5_10_scaffolds  DTU_2021_1010067_1_MG_Nuuk_ID81_S1_StV23C_5_10_out2_scaffolds  DTU_2021_1010184_1_MG_Nuuk_ID207_S4_StV26A_0_5_inf3_scaffolds  DTU_2021_1010216_1_MG_Ser_ID454_0_Cli1_scaffolds  DTU_2021_1010143_1_MG_Nuuk_ID161_S3_StV24A_51_5955_mid12_scaffolds  DTU_2021_1010148_1_MG_Nuuk_ID166_S3_StV24A_63_7165_mid17_scaffolds  DTU_2021_1010197_1_MG_Nuuk_ID220_S4_StV26A_5_10_inf16_scaffolds  DTU_2021_1010173_1_MG_Nuuk_ID191_S5_StNuuk_70_mid21_scaffolds  DTU_2021_1010144_1_MG_Nuuk_ID162_S3_StV24A_59_6360_mid13_scaffolds  DTU_2021_1010219_1_MG_Ser_ID457_0_Cli4_scaffolds  DTU_2021_1010001_1_MG_Nar_ID2_SFA_P1_5_10_scaffolds  DTU_2021_1010095_1_MG_Nuuk_ID111_S2_StV23B_5_10_inf8_scaffolds  DTU_2021_1010135_1_MG_Nuuk_ID153_S3_StV24A_19_4130_mid4_scaffolds  DTU_2021_1010063_1_MG_Nuuk_ID77_S1_StV23C_0_5_inf9_scaffolds  DTU_2021_1010209_1_MG_Ser_ID446_0_5_Sed1_scaffolds  DTU_2021_1010119_1_MG_Nuuk_ID137_S3_StV24A_0_5_inf9_scaffolds  DTU_2021_1010073_1_MG_Nuuk_ID87_S1_StV23C_5_10_out8_scaffolds
# contigs (>= 0 bp)         2296765                                                         2409517                                               2426850                                                        2135468                                                        3114406                                           1720227                                                             1471802                                                             2859287                                                          1756007                                                        1864925                                                             1836044                                           2244978                                              2598396                                                         2153576                                                            2215568                                                       2185753                                             2021502                                                        1766247                                                      
# contigs (>= 1000 bp)      72844                                                           108439                                                171988                                                         166674                                                         289226                                            189987                                                              129056                                                              211735                                                           158589                                                         221481                                                              158618                                            128999                                               149306                                                          161258                                                             99676                                                         151056                                              115385                                                         52786                                                        
# contigs (>= 5000 bp)      1175                                                            2770                                                  8332                                                           7398                                                           17900                                             17766                                                               11770                                                               14091                                                            10082                                                          31292                                                               9637                                              4061                                                 5147                                                            11107                                                              2157                                                          11953                                               4891                                                           2688                                                         
# contigs (>= 10000 bp)     365                                                             883                                                   2129                                                           1991                                                           6241                                              6969                                                                5120                                                                4616                                                             3367                                                           14239                                                               3270                                              459                                                  1431                                                            3975                                                               556                                                           5233                                                1854                                                           741                                                          
# contigs (>= 25000 bp)     86                                                              255                                                   382                                                            475                                                            1979                                              2392                                                                1870                                                                986                                                              1048                                                           4776                                                                848                                               19                                                   260                                                             1278                                                               54                                                            2038                                                643                                                            180                                                          
# contigs (>= 50000 bp)     17                                                              114                                                   146                                                            154                                                            826                                               981                                                                 767                                                                 335                                                              442                                                            1747                                                                334                                               1                                                    75                                                              504                                                                1                                                             898                                                 316                                                            68                                                           
Total length (>= 0 bp)      1018989975                                                      1147913239                                            1313785380                                                     1177887096                                                     1969819177                                        1274021350                                                          1007737723                                                          1623168279                                                       1102610023                                                     1624804089                                                          1106980217                                        1105875879                                           1311958967                                                      1263852158                                                         1033829061                                                    1349785188                                          1053161465                                                     790490202                                                    
Total length (>= 1000 bp)   117621372                                                       208095932                                             362852720                                                      357383490                                                      757044416                                         618409962                                                           436325865                                                           511951935                                                        425970985                                                      914086805                                                           396796303                                         239247540                                            291609924                                                       426059776                                                          169679311                                                     494502648                                           265077540                                                      112948908                                                    
Total length (>= 5000 bp)   13123748                                                        45313779                                              88857423                                                       83473265                                                       287499432                                         302245444                                                           228156235                                                           172565624                                                        164365174                                                      558491906                                                           139575621                                         29655256                                             60804063                                                        168619904                                                          19565771                                                      258289527                                           85495633                                                       32824953                                                     
Total length (>= 10000 bp)  7693630                                                         32766680                                              47151284                                                       47820788                                                       208885404                                         229144379                                                           183018704                                                           108568377                                                        119450577                                                      440673542                                                           96852220                                          6376816                                              35872477                                                        120280484                                                          8879001                                                       212309958                                           65042886                                                       19812698                                                     
Total length (>= 25000 bp)  3569071                                                         23495565                                              22507478                                                       25672914                                                       146281017                                         159618175                                                           133672506                                                           55697327                                                         85211588                                                       297433786                                                           61467304                                          615653                                               19011898                                                        80645253                                                           1733829                                                       164190605                                           46828564                                                       11657698                                                     
Total length (>= 50000 bp)  1242356                                                         18645403                                              14501032                                                       14829398                                                       106421181                                         110815255                                                           95214757                                                            33786330                                                         64406981                                                       192661201                                                           43726161                                          56991                                                12704106                                                        53551083                                                           68933                                                         124395242                                           35620613                                                       7679822                                                      
# contigs                   72844                                                           108439                                                171988                                                         166674                                                         289226                                            189987                                                              129056                                                              211735                                                           158589                                                         221481                                                              158618                                            128999                                               149306                                                          161258                                                             99676                                                         151056                                              115385                                                         52786                                                        
