Taxon,Count
Pedosphaera,2
Sandaracinaceae,2
Clavulicium macounii,1
Tunicata,1
Halobacillus sp. LY4,1
Pycnoraceae,1
uncultured Pseudonocardia sp.,2
Flavisolibacter,2
Jeotgalicoccus sp. AD9,1
AncK6,1
Methyloceanibacter methanicus,1
Bacteroides fragilis,1
Pleurostigmophora,2
Stramenopiles,11
Peptostreptococcales-Tissierellales,1
beta proteobacterium AAP99,1
Desulfovibrionia,1
Geobacillus,1
Saccharimonadia,22
Dickeya zeae,1
Ruminococcus,1
Pseudomonas azotoformans,1
Hepatozoon,1
Stenotrophomonas sp. SuP-E832,1
Jeotgalicoccus,1
Bacillus endophyticus,1
Synergistales,1
endosymbiont of Acanthamoeba sp. R18,1
Mumia,1
Romboutsia sp. MT17,1
Paenibacillus sp. OK076,1
Desulfobulbales,3
Ceratobasidiaceae,1
Chytridiomycetes,5
Pseudomonas filiscindens,1
Curtobacterium sp.,1
Paenibacillus sp. G2Bc6,1
Cyanobium sp. CZS_3_4,1
Entotheonellaceae,3
Scalinduaceae,1
Staphylococcus sp.,1
groundwater metagenome,1
Xanthomonadales,19
Alloprevotella,1
Streptomyces sp. MBRC-60,1
Acidithiobacillaceae,3
uncultured Ferrimicrobium sp.,3
Colocasia esculenta (taro),1
Nicotiana attenuata,1
Salpingoeca,1
Pectobacterium atrosepticum CFBP 6276,1
Bacteriovoracales,1
Candidatus Vogelbacteria bacterium RIFOXYD1_FULL_46_19,1
Paenibacillus sp. IARI-L-130,1
bacterium JA11,1
Oscillospirales,6
Aetherobacter,2
Devosia sp. DDB001,1
Cyrtolophosis mucicola,1
OM60(NOR5) clade,2
Paenibacillus amylolyticus,4
Ciliophora,7
Streptomyces mirabilis,1
Acanthamoeba sp.,1
Paenibacillus sp. PA231,1
Cochliobolus sp. 007(L)1-1,1
uncultured Coxiellaceae bacterium,1
Taphrinomycotina,3
Taiwanofungus,1
Echinococcus granulosus,1
Dufourea novaeangliae,1
Methyloceanibacter,2
Rhodobacterales,11
Stephanodiscus,1
Mycobacterium sp. JC2972,1
Lulworthia,1
Arthrobacter oryzae,1
Acetobacter,1
Nitrobacter,3
Sphingomonadales,11
Komagataeibacter hansenii,1
Crinalium SAG 22.89,1
Stigmatella,1
Pseudonocardia sp. EC080625-04,1
Brocadiales,1
fungal sp. BP-WI-3,1
Phaeoisaria,1
uncultured Dokdonella sp.,1
Chloroflexales,7
Curtobacterium,3
Elusimicrobia,3
Colpodea,1
Gymnosporangium ellisii,1
Granulicella,10
Klebsiella sp. KV-3,1
Stauridium tetras,1
Geobacillus thermoleovorans,1
Lobulomycetales,1
Trueperella pyogenes,1
Lepraria oxybapha,1
Diatomea,3
Elev-1554,1
Longispora,1
Pseudomonas sp. 2PQ2,1
Rahnella sp. SYC83,1
Hyphomicrobiaceae,26
Mycobacterium sp. CAR-SN13W,1
Xylariaceae,3
Hellea,1
Bdellovibrionales bacterium GWC1_52_8,1
Bemisia tabaci,1
Steroidobacter,1
Bacillus sp. HWE2-07,1
Mycosphaerella,1
Candidatus Endonucleariobacter,1
Chrysochromulina parkeae,1
Enterobacter sp. DVRSG-3,1
Pleurotus ostreatoroseus,1
Aeromonadales,7
Aeromonadaceae,7
Cleomella serrulata,1
Neisseria,3
Sphingomonas indica,1
Melanospora,1
Glarea,1
Rhodospirillaceae bacterium IA_FO_10,1
Oxalobacteraceae bacterium HTCC302,1
Chordata,3
Ferrovum,1
actinobacterium YJF1-30,1
Vitex agnus-castus,1
Spongomonas sp. CCAP 1971/1,1
Trueperella,1
soil flagellate AND21,1
uncultured Saprospiraceae bacterium,1
Sphingobacteriaceae,10
Phaeoisariopsis,1
Thermoactinomycetaceae,2
Paramicrosporidium saccamoebae,1
Frankia,3
uncultured Thermoplasmatales archaeon,1
WD260,12
Arhynchobdellida,1
Pseudanabaena PCC-7429,3
Enterobacter asburiae,1
Pseudarthrobacter sulfonivorans,2
Sclerotinia borealis,1
Desulfitibacter alkalitolerans DSM 16504,1
bacterium enrichment culture clone heteroA1_4W,1
Candidatus Azambacteria,1
Paenibacillus lautus,1
Salinispora,1
Bradyrhizobium elkanii,2
Lactobacillus ruminis,1
Variovorax sp. HRT16,1
Pseudonocardia sp. CNS139 PL04,1
Hepatozoon sp. Curupira 2,1
Latescibacteraceae,1
Pseudomonas sp. GD100,1
Mycobacterium insubricum,1
Staphylococcales,9
Cyclophyllidea,3
Variibacter gotjawalensis,1
Mycoplasma,6
Fibrobacterota,1
Thermotogota,2
Cyperus albostriatus,1
Actinomarinales,1
Bradyrhizobium liaoningense,1
Pseudonocardia sp. ACT-0146,1
Methylomirabilaceae,1
Discosea,1
Rhabditophora,2
Omnitrophales,1
Serratia sp. F2(2009),1
Oryzihumus,6
uncultured Conexibacter sp.,4
uncultured Dikarya,2
CPla-3 termite group,2
Blastocystis hominis,2
Syntrophales,2
Conthreep,1
Chelatococcus,1
Glomeromycotina,1
Sphingomonas sp. RP18,1
Trichosporonaceae,1
Brevibacillales,2
Micromonospora sp. NEAU-lc7,1
Cedecea neteri,1
Rhodospirillum sp. kmd_014,1
Mycoplasma sp. Mirounga ES2774-NASSP4,1
Halothiobacillales,1
Cyanobacteriales,7
Lactobacillus plantarum,3
Paenibacillus sp. Tibet-IB15,1
Actinoplanes sp. L1205,1
Ichthyophonae,1
Coccidia,2
Pseudomonas syringae pv. syringae str. B301D-R,1
Talaromyces purpureogenus,1
Paenibacillus stellifer,1
Verpa,1
Enterobacteriaceae bacterium ENUB8,1
marine metagenome,1
Paractinolaimus sahandi,1
Bradyrhizobium sp. LWH94,1
Coptotermes gestroi,1
Syntrophomonadaceae,1
Sulfurospirillum,1
Clavibacter tessellarius,1
OM43 clade,2
Clostridium sensu stricto 13,12
Gracilibacteria,2
bacterium Ellin5058,1
Aeromonas,7
Spirilliplanes yamanashiensis,1
Bacillicladium lobatum,1
Buttiauxella sp.,1
Arthrobacter sp. YN,1
Micrarchaeales,1
Janibacter,1
Polyporales,4
Bacteriovoracaceae,1
Herbaspirillum sp. TSA66,1
MVP-15,1
Wohlfahrtiimonas chitiniclastica,1
Candidatus Woykebacteria,1
Faecalibacterium,1
Sulfobacillus,2
Acidithiobacillales,3
Leptolyngbya VRUC 135,1
Blautia,4
bacterium Ellin7505,1
Paenibacillus polymyxa CR1,1
Cryptops trisulcatus,1
Elsteraceae,2
Desulfocapsaceae,1
Klebsiella sp. HC1,1
Euglenida,1
Candidatus Rubidus,1
Achromadora sp. JH-2004,1
Actinomycetospora,2
uncultured Ectothiorhodospiraceae bacterium,1
Abditibacteriaceae,1
Myrothecium sp. CGMCC 3.3665,1
Ga0074140,1
Staphylococcus cohnii,1
Hebeloma eburneum,1
Chytridiales,1
Pseudomonas sp. 4P_D3_5CS2014,1
Serratia sp. UW18,1
env.OPS 17,1
Sulfuritalea,5
Stolidobranchia,1
Candidatus Adlerbacteria,2
uncultured eukaryote,10
Rhizobium leguminosarum,2
Mycobacterium simulans,1
Teleostei,2
Xylobotryales,1
Tremellomycetes,5
Methanoculleus,1
Streptomyces sp. 22a-1-4.19,1
Photobacterium ganghwense,1
Marine Group II,1
Clostridium sensu stricto 7,1
Thermoplasmata,2
type III,4
Methylacidiphilales,3
Spirotrichea,6
Saprospiraceae,4
Thermococcaceae,1
Desulfitibacter,1
Phaeodactylibacter,1
uncultured sludge bacterium S7,1
Cyanobium PCC-6307,3
Ascotaiwania sawadae,1
Didymosphaeriaceae,1
Auriculariales,3
Streptomyces sp. HS-NF-853,1
