Taxon,Count
Thelebolus,2
Triticum polonicum,1
Acidithiobacillales,6
uncultured Acetobacteraceae bacterium,3
Pilobolus,1
Pseudonocardia asaccharolytica,1
Bergeyella sp. AF14,1
Pseudogymnoascus pannorum var. pannorum,2
uncultured Anaerolineaceae bacterium,2
Unknown Family,37
Sphaeropteris cooperi,1
Cyanobium PCC-6307,2
Methylocystis,1
Trichosporon asahii var. asahii CBS 2479,1
Goldenrain phytoplasma,1
uncultured deep-sea bacterium,1
Humulus lupulus (European hop),1
Xiangella,1
Rheum coreanum,1
Parmeliaceae,1
Pseudonocardiales,28
Dietzia,1
Neocatenulostroma microsporum,1
Calvatia,1
Hypholoma subviride,1
Thermotoga neapolitana,1
uncultured sludge bacterium S14,1
Jannaschia,1
Hirsutella minnesotensis 3608,1
uncultured Dothioraceae,1
unidentified eubacterium EA25,1
Nicotiana sylvestris (wood tobacco),2
Nitrospiraceae,2
Massilia sp. YMA4,1
Rathayibacter,2
Ramularia endophylla,1
Fusarium proliferatum,1
Serratia marcescens,2
Bradyrhizobium ottawaense,1
uncultured marine bacterium,36
Dicranophora,1
Tremiscus,2
Microtegeus similis,1
zygomycete sp. AM-2008a,5
Lolium multiflorum (Italian ryegrass),1
Solibacillus,1
Candidatus Daviesbacteria,2
Rheinheimera sp. Gbf-Ret-3,1
Lulworthia atlantica,1
Roseomonas,2
Strophariaceae,1
Gemellaceae,1
Arthrobacter sp. D4,1
Sporosarcina,2
Oceanospirillales,4
uncultured Bdellovibrio sp.,1
FCPU426,4
mine drainage metagenome,2
Rhizoctonia sp. AG-A,1
Thermoanaerobaculales,5
uncultured eubacterium WD244,1
Coxiellales,2
Neisseria,1
Nocardioides,18
Pleurotus,3
SCADC1-2-3,1
Steroidobacter sp.,1
Botrytis,1
uncultured Chlamydiales bacterium,2
Bacillus loiseleuriae,1
Mycosphaerella aleuritidis,1
Bartonella,2
Sedimenticolaceae,1
Pucciniales,6
Setosphaeria,1
Modulibacteria,2
Choanozoa,58
Crepidotus sp. PBM3463,1
Trichocoma,1
Rubrobacter,1
Mucilaginibacter sp. PAMC 26640,1
Mycobacterium sp. FI-13041,1
Mucor indicus,1
Nicotiana attenuata,2
Trianguloscalpellum regium,1
Polytrichum subpilosum,1
Cardiobacteriales,1
Enoplia,2
Clostridiales bacterium Marseille-P2411,1
Streptomyces luteus,1
Solirubrobacterales bacterium 67-14,1
uncultured Burkholderiaceae bacterium,1
Rhodothermaceae,3
Aquicella,7
Dechloromonas,1
Arachnida,4
Cestodaria,1
Mesorhizobium sp.,1
Brassica carinata,1
1921-2,6
Graphiaceae,1
bacterium RS12A,1
Fontimonas,1
Rhodocista,1
Streptomycetaceae,34
Dickeya chrysanthemi,1
Acidobacteria bacterium IGE-012,1
Paenibacillus sp. IHB B 3391,1
Tundrisphaera,18
Fusobacteriia,1
Pseudoflavitalea sp. 5GH32-13,1
Nanoarchaeia,2
Griseoporia carbonaria,1
Beijerinckia,2
Cyclophyllidea,2
Cladosporium,3
Sulfolobus metallicus DSM 6482 = JCM 9184,1
Brevundimonas sp. MH63,1
uncultured Mucilaginibacter sp.,1
uncultured Chlamydia sp.,1
Candelariales,1
Phyllopoda,1
Brevibacillus reuszeri,1
uncultured bacterium #0319-6L10,1
Castilleja paramensis,1
Hellea,1
Geothermobacter,1
Nicotiana tabacum (common tobacco),3
NK4A214 group,1
Eugregarinorida,2
Stephanodiscus suzukii,1
Sebacinaceae,2
Strigeidida,1
Hyaloriaceae,3
Kyrpidia,1
Beggiatoa,1
Passiflora cincinnata,1
Trichoderma atroviride IMI 206040,1
Lactobacillus crispatus,1
Microtrichaceae,4
uncultured Lachnospiraceae bacterium,1
Nitrospina,1
Schmidtea mediterranea,1
Pleurotaceae,3
Griseoporia,1
Xylobotryum portentosum,1
Streptacidiphilus sp. Aac-21,1
Alkalibacillus sp. PL203,1
Mycobacteriaceae,33
Rhodobacteraceae,9
Dehalococcoidia,3
Xanthophyceae,1
CWT CU03-E12,1
Woeseia oceani,1
Nitrososphaeria,9
Mycosphaerella podagrariae,1
Dysgonomonadaceae,1
Boleodorus thylactus,1
Comamonas,2
Romboutsia,3
Burkholderia sp.,2
Thermomicrobiales,3
SS1-B-02-17,1
Xenacoelomorpha,2
SAR,55
Mesorhizobium,5
Dokdonella koreensis DS-123,1
Methylocapsa palsarum,1
Euglyphida,1
Excavata,2
Trichosporonales,3
Persicaria minor,1
Glomus sp. MUCL 43194,1
Rhodobacterales,9
Hyphodontia,1
Dongiales,2
Trichoderma asperellum,1
Blastococcus,1
Cryptodiscus galaninae,1
Dacrymycetaceae,1
Scopulariopsis brevicaulis,1
Limonomyces roseipellis,1
Chlamydiales bacterium CRIB 32,1
Endomicrobiaceae,14
Trichosporonaceae,2
Katablepharis remigera,1
Penicillium sp. KF266,1
Actinoplanes,10
Oculatella ucrainica KZ-5-4-1,1
Sulfolobales,1
Vermiphilaceae,9
Actinomycetales bacterium WTL-15,1
Thermotogales,1
Lobulomycetaceae,1
Mycosphaerella microsora,1
hydrothermal vent metagenome,1
Amoebozoa,9
