Taxon,Count
MND1,1
bacterium enrichment culture clone auto113_4W,1
Poliothyrsis sp. Alford 44,1
Bacillus salsus,1
Serratia liquefaciens,1
Stenotrophobacter,1
Populus trichocarpa (black cottonwood),1
uncultured Sphingomonadaceae bacterium,1
Galbitalea,1
Piscinibacter,1
Steroidobacter sp.,1
Armatimonadetes bacterium,1
Serratia sp. S4,1
Candidatus Aquiluna,1
Planosporangium,1
Paenibacillus sp. OK003,1
Serratia proteamaculans,2
Bradyrhizobium sp. cf659,1
Rhodospirillales bacterium URHD0088,1
Piscinibacter sp. 7B-213,1
