Taxon,Count
Devosia,1
Latrodectus geometricus (brown widow),1
Nakamurellaceae,15
Taraxacum officinale,1
Talaromyces,1
Lotus japonicus,1
Acetomicrobium,1
RBG-16-55-12,1
uncultured Firmicutes bacterium,6
Rhodocybella,1
Chlamydia pneumoniae,1
Chlorobia,2
uncultured Archangiaceae bacterium,1
uncultured eukaryote,35
Peritrichia,2
Hyphozyma,6
Passiflora alata,1
Gemmatimonas phototrophica,1
Ralstonia,2
Schlesneria,2
Fusobacteriales,2
Rathayibacter,2
Candidatus Protochlamydia sp. cvE14,1
Planctomycetaceae bacterium SCGC AG-212-F19,1
PLTA13,1
Jiangella,1
Isaria,3
Orientia,1
Rhodobacterales,9
Cairneyella variabilis,1
Blumeria graminis f. sp. hordei DH14,1
Peniophorella,1
Thelebolaceae,7
Pulvinula carbonaria,1
Gymnodiniphycidae,2
Pseudomonas sp. GmFRB023,1
uncultured cf. Umbellopsis,1
BIrii41,6
Anonchotaenia cf. brasiliensis AW-2013,1
Udeniomyces,2
Zaus caeruleus,1
Sulfobacillus,1
Coleoptera,4
Sandaracinaceae,13
Trueperella,1
Rubrobacter,1
Nitrospinaceae,4
Pseudorhodoplanes,4
Inocybe,4
bacterium enrichment culture clone SBIV14,1
Vampirivibrionia,8
Mycobacterium petroleophilum,1
Defluviicoccales,1
Vibrionales,8
Acarosporales,1
Rhynchospora nervosa,1
Orbicula parietina,1
Staphylococcus,8
Rosulabryum,1
Dicranophora,1
SAR11 clade,1
Mortierella wolfii,1
uncultured Holophaga sp.,5
Flavobacteriaceae,15
Bacillus subterraneus,2
Synechococcus sp. NgrSCC7,1
Schizosaccharomycetales,2
Florideophycidae,1
Tausonia pamirica,1
Utharomyces,2
Thermobaculales,1
NS9 marine group,1
Pseudochelatococcus,1
uncultured Nannocystineae bacterium,3
Jaminaea lanaiensis,1
Virgatospora echinofibrosa,1
Opitutales,21
Actinomucor,2
Bryum argenteum,1
Exiguobacterium,1
Napoli-4B-65,1
Volutella ciliata,1
Candidatus Levybacteria bacterium RIFCSPLOWO2_02_FULL_37_11,1
Cladosporiaceae,2
Exobasidiomycetes,3
Neobulgaria premnophila,1
Anaerovoracaceae,2
Cytophagaceae,2
Comamonas testosteroni,1
Cyclophyllidea,7
Candidatus Kerfeldbacteria,1
uncultured microorganism,1
Streptosporangiales,7
Spirochaetaceae,4
Geothermarchaeaceae,1
Roseiflexaceae,4
Viridiraptor,2
S32,1
Geotrichum,1
Desulfotomaculia,3
Lachnospiraceae,15
Nostocaceae,1
alpha proteobacterium L9(2008),1
Virgibacillus,2
Terrimicrobium,3
Saccharomycodes,1
uncultured Pseudolabrys sp.,3
Alloprevotella,1
Aspergillus nomius,1
Pasteurellaceae,5
Metazoa,63
Macrococcus,1
Parabirojimia,1
HSB OF53-F07,6
Coniochaetales,1
Brevibacillus reuszeri,1
Phialocephala fortinii,1
Kurthia gibsonii,1
Candidatus Nitrososphaera,1
Bulleribasidiaceae,2
Acidobacteria bacterium ADurb.Bin051,1
Pilobolaceae,5
uncultured bacterium 282,1
Myxosporea,1
Rhodopseudomonas sp. AAP120,1
Actinomycetaceae,3
Cortinarius violaceus,1
uncultured rhizosphere chytridiomycete,1
Populus tremula,1
Tricholomataceae,11
Asticcacaulis,1
Salinisphaeraceae,1
Limnobacter,1
Mycobacterium sp. CLGS,1
Eucestoda,7
Vampirovibrionaceae,1
uncultured Candidatus Saccharibacteria bacterium,8
Acinetobacter sp. 178,1
Prochlorococcus marinus str. MIT 9215,1
Azospirillales,4
Ochromonas sp. MMDL4071,1
Acidiferrobacterales,1
Pectobacterium atrosepticum,1
Chaetocladiaceae,2
Neottia camtschatea,1
Tremiscus,1
Endomicrobiales,14
Meripilus giganteus,1
Bacillus sp. SIT16,1
Paenibacillus sp. MBEU37,1
beta proteobacterium B2,1
Umbilicaria hyperborea,1
Gracilibacteria,3
uncultured deep-sea bacterium,3
Peltigera dolichorrhiza,1
Hyaloscypha spiralis,1
Microcoleus cf. vaginatus Ru-6-12,1
Sordaria macrospora k-hell,1
