Taxon,Count
Elusimicrobiota,33
Candidatus Solibacter,95
Pectobacteriaceae,13
Bradyrhizobium erythrophlei,4
Gemmatimonadaceae,74
Ambomucor,2
Solirubrobacter,30
Bacillus sp. FJAT-29814,2
Xanthomonadales,31
Chloroflexi,149
Lactobacillales,30
Serratia liquefaciens,12
Propionibacteriales,47
Obscuribacteraceae,3
Conexibacter,54
Bdellovibrionales,12
Serratia plymuthica,5
S-BQ2-57 soil group,8
Haliangiales,83
Ilumatobacter,3
Pseudogymnoascus sp. VKM F-3775,2
Alphaproteobacteria,753
Gaiellaceae,8
Occallatibacter,11
Bdellovibrionaceae,12
Acidobacteriae,407
uncultured gamma proteobacterium,14
Dokdonella,5
Embryophyta,83
Xanthobacteraceae,279
Tepidisphaerales,51
uncultured Chloroflexi bacterium,13
Bacteroidia,127
Bacillaceae,275
uncultured delta proteobacterium,19
Planctomycetes,245
Bacillus niacini,6
Chthoniobacteraceae,72
Acidobacteriaceae (Subgroup 1),45
Crenarchaeota,14
Frankiaceae,35
Bradyrhizobium,73
uncultured Sorangiineae bacterium,2
Anaerolineae,20
Bacillales,305
Isosphaeraceae,74
SBR1031,18
Streptococcaceae,11
Phragmoplastophyta,83
uncultured Acidobacteria bacterium,202
Chitinophagaceae,70
Leotiomycetes,35
Haliangium,83
Dikarya,308
Ambomucor seriatoinflatus,2
Backusellaceae,4
Jatrophihabitans,33
Filobasidiales,10
uncultured organism,31
Yersiniaceae,193
Micromonosporales,112
Actinobacteriota,970
Protostomia,30
uncultured Myxococcales bacterium,4
Bacillus soli NBRC 102451,2
Puia,21
Cyanobacteriia,52
uncultured planctomycete,47
Rhizobiales,406
Backusella,4
Gaiella,8
Mortierellomycotina,18
Agaricomycotina,33
Myxococcales,20
uncultured Bradyrhizobium sp.,7
Mesorhizobium,5
Haliangiaceae,83
Acidibacter,25
Planctomyces sp.,2
Spermatophyta,81
Dongiales,4
Obazoa,449
Serratia sp. F2(2009),2
Thermoleophilia,279
Bryobacterales,54
unidentified,3
Rhizobiaceae,21
Bacillus sp. Y1,2
Gossypium barbadense (sea-island cotton),4
P3OB-42,8
Rhodanobacter,12
Gemmatimonadales,74
Metazoa,41
Candidatus Udaeobacter,54
uncultured Hyphomicrobiaceae bacterium,16
Mucoraceae,38
Dongia,4
WD260,21
Methylocapsa,4
Pirellulaceae,57
Solibacteraceae,95
Subgroup 7,27
Triticum aestivum (bread wheat),8
Amorphea,456
Gammaproteobacteria,606
Omnitrophales,6
Bacillus sp. OK048,2
Planctomycetales,23
Kineosporiaceae,16
Bacilli,392
Holophagae,28
env.OPS 17,4
Restionaceae environmental sample,2
Rhizobacter,5
uncultured Serratia sp.,5
uncultured proteobacterium,22
Nematozoa,10
Obscuribacterales,3
uncultured Alphaproteobacteria bacterium,41
Serratia,176
Lacunisphaera,10
Opisthokonta,449
uncultured Actinomycetales bacterium,4
Asanoa,4
Galbitalea,3
Bacillus sp. Ellin119,2
bacterium enrichment culture clone auto123_4W,2
Acetobacterales,79
Bryobacteraceae,54
Polyangiaceae,30
Verrucomicrobiae,171
Pedosphaerales,52
uncultured Conexibacteraceae bacterium,8
RB41,23
Animalia,40
Polyangia,140
Gemmatimonadota,78
Chthoniobacterales,85
Subgroup 13,4
Dongiaceae,4
Magnoliophyta,79
DEV008,3
Streptophyta,83
Ilumatobacteraceae,17
Ascomycota,264
Pectobacterium betavasculorum,2
Vicinamibacterales,127
Ktedonobacteria,39
Basidiomycota,42
Actinobacteria,563
Hafnia paralvei,2
Hafniaceae,11
Burkholderiales,116
Choanozoa,41
uncultured low G+C Gram-positive bacterium,3
Chenopodium quinoa (quinoa),3
Streptococcus,9
Bdellovibrionia,12
Pyrinomonadaceae,23
Micropepsales,30
Bacillus bataviensis,4
Actinoplanes,31
Enterobacterales,298
IMCC26256,70
CWT CU03-E12,3
Mucor rudolphii,4
Chitinophagales,80
Thelebolales,4
Serratia plymuthica RVH1,3
uncultured Rhodoplanes sp.,3
SM2D12,8
Rhodobacteraceae,5
Omnitrophia,6
Bacillus sp. 1NLA3E,2
Sphingobacteriales,16
Serratia sp. P2ACOL2,2
Myxococcota,161
Backusella circina,2
Vampirivibrionia,5
Pirellulales,57
Charophyta,84
Opitutales,20
Hyphozyma,4
Pectobacterium parmentieri,2
MBNT15,6
Pseudolabrys,23
Thelebolaceae,4
Gaiellales,94
unidentified eubacterium clone BSV45,2
Bacillus sp. WN577,2
soil metagenome,5
Caulobacteraceae,16
Bacillus circulans,2
Mucor lilianae,2
Cyanobacteria,60
Gemmataceae,91
Bacteria,4784
Kineosporiales,16
Rhodoplanes,30
Nitrosomonadaceae,25
Caulobacterales,25
uncultured Nitrospira sp.,2
uncultured Rahnella sp.,2
Hafnia alvei,2
uncultured Tremellaceae,3
Bacillus sp. (in: Bacteria),9
Bacillus,264
OM190,11
Frankiales,123
Acidothermus,60
Polyangiales,53
Microtrichales,34
Micromonosporaceae,112
Ktedonobacteraceae,35
Unknown Family,32
Serratia sp. SIB_Cu_R6,2
Pezizomycotina,258
Mucoromycota,82
Vicinamibacteria,137
Nitrospiraceae,11
uncultured forest soil bacterium,20
Omnitrophaceae,5
Nematoda,10
Rhodobacterales,5
JG30a-KF-32,5
Gemmatimonadetes,74
Serratia liquefaciens ATCC 27592,2
Pilaira anomala,3
Coxiella,6
Opitutaceae,19
Verrucomicrobiota,221
Mortierellaceae,15
Rhodopseudomonas sp. AAP120,2
Lineage IIa,16
uncultured soil bacterium,67
uncultured Bacillaceae bacterium,7
Bilateria,38
Nitrospira,11
Buttiauxella,2
Pedomicrobium,8
Coxiellaceae,6
Serratia sp. HX-A01,2
Myxococcia,20
Chromadorea,8
uncultured actinobacterium,45
Gemmata,11
Serratia grimesii,8
Schlesneria,8
Nocardioides,29
Mucoromycotina,62
uncultured Gemmatimonas sp.,6
Candidatus Omnitrophus,5
Klebsiella pneumoniae,7
Incertae Sedis,127
Bauldia,6
Serratia symbiotica,6
AKYH767,3
Proteobacteria,1359
Serratia proteamaculans,13
WD2101 soil group,45
uncultured Eimeriidae,5
Klebsiella,10
Isosphaerales,74
Subgroup 5,12
Micrococcales,57
Pilaira,5
uncultured Ktedobacteria bacterium,5
Acidimicrobiia,116
Serratia sp. S4,6
Phycisphaerae,55
uncultured Bacillus sp.,18
Ktedonobacterales,38
Buttiauxella sp. 3AFRM03,2
Fungi,405
Rhodopseudomonas,6
Microbacteriaceae,26
Coxiellales,6
Cellvibrionales,3
uncultured,1077
Serratia marcescens,5
uncultured Rhizobiales bacterium,8
Nitrososphaeria,13
metagenome,411
Bdellovibrio,12
Bacillus drentensis,3
Sporosarcina,17
Mucor,26
Nucletmycea,408
A4b,6
zygomycete sp. AM-2008a,5
Myxococcaceae,17
Ecdysozoa,20
Elsterales,51
