Taxon,Count
Nicotiana tomentosiformis,1
Endosporium aviarium,1
Diatomea,4
Hygrophoraceae,9
Neocudoniella,1
Amanitaceae,3
Pilidium concavum,1
Rhizobium sp. NFR12,1
Paenibacillus sp. MSCB-6,1
Bacillus sp. FJAT-26390,1
uncultured Rhodospirillaceae bacterium,4
Limnochordia,3
Jimgerdemannia lactiflua,1
Anaeromyxobacteraceae,3
Glyptostrobus pensilis,1
Nudifila,1
Chaenea,1
Salpingoecidae,1
Lactobacillus sakei,1
Iodobacter,1
Bradymyces graniticola,1
Lactobacillus saniviri,1
Saccharomycetes,34
Gnathostomata,7
Methylocapsa acidiphila B2,1
Venturiaceae,1
MBMPE27,1
bacterium Ellin6009,1
Hydrogenispora,1
Endosporium populi-tremuloides,1
Sphingomonas sp. Root1294,1
Meriderma,1
Mycosphaerella ribis,1
Dothideomycetes,68
Litostomatea,1
Trichoderma sp. w512,1
Cohnella,1
Estrella,1
Zea mays subsp. mays (maize),4
uncultured Ascomycota,3
Sulfobacillus,2
Chlamydiales bacterium CRIB33,1
Spiroplasma,1
Microscypha cajaniensis,1
Microplana nana,1
Lachnum,1
Haloadaptaceae,1
Endogonales,2
Craterocolla,1
Nitrospinaceae,2
uncultured Thermosporothrix sp.,3
Coxiellaceae,13
Clade IV,1
uncultured Bacteroidetes bacterium,5
Olsenella,2
Sporidiobolales,1
Chelicerata,2
Ramularia,2
Caldisericia,1
Lacunisphaera,1
Acidocella aminolytica 101 = DSM 11237,1
Methylocella,2
Puccinia kusanoi,1
Lobulomycetales sp. AF011,1
Cyanobium sp. CZS_27J,1
Entylomatales,1
Chryseolinea,1
Candidatus Hamiltonella,1
Pedobacter,1
Acidicapsa ligni,1
Micromonosporales,9
Mycosphaerella pyri,1
Backusellaceae,3
Candida sp. DSM19516,1
Deltaproteobacteria bacterium GWA2_45_12,1
Xanthoparmelia conspersa,1
Haplosporida,1
Cladophialophora minutissima,1
Moniezia benedeni,1
Lachnospiraceae UCG-006,1
uncultured type II methanotroph,1
Absidia,1
Negativicutes,3
Volvariella,1
Streptomyces leeuwenhoekii,1
Aquificae,1
Arthrobacter sp. 3-9,1
mle1-7,7
agricultural soil bacterium SC-I-39,1
Kniphofia uvaria,1
bacterium Ellin6515,1
Lecanoromycetes,16
Eubacteriales,1
Aureobasidiaceae,3
Sclerotinia homoeocarpa,1
Hypocreales sp. GMG_C1,1
Metarhizium anisopliae,1
Massaria campestris,1
Mrakia frigida,1
uncultured Rhodocyclaceae bacterium,3
Candidatus Protochlamydia endosymbiont of Acanthamoeba sp.,2
Glomerellales,2
Pneumocystidomycetes,1
Azospirillaceae,2
Paludisphaera borealis,1
JG30-KF-AS9,2
Acanthostaurus nordgaardi,1
Ktedonobacter,6
Stigmatodiscales,1
Corynebacteriaceae,1
Candidatus Giovannonibacteria bacterium GW2011_GWB1_47_6b,1
ABY1,3
Aeromicrobium sp. Leaf291,1
Neochlamydia hartmannellae,1
Aciditerrimonas,3
Hyaloscypha variabilis,2
Ciliophora,8
IMCC26207,2
Dietzia,1
Thermoactinomycetaceae,2
Physalacriaceae,1
Acholeplasmataceae,4
Polytrichum juniperinum,1
Simkaniaceae,13
Aletris lutea,1
Petrosavia stellaris,1
Coleoptera,4
Chaetocladium brefeldii,1
Orbiliales,4
Nordella,1
Lophotrochozoa,13
Rickettsiaceae,1
Eccrinales,1
Asphodeline taurica,1
Silvibacterium bohemicum,1
Keratinophyton terreum,1
Cellulomonas sp. Root137,1
Ruficoccus amylovorans,1
Bartonella silvicola,1
Aspergillago clavatoflava,1
Geothermobacteraceae,1
Tulasnella,2
Torpedosporales,1
Sphingobium,1
Tuberaceae,2
MSBL5,1
Solimonadaceae,2
Hydrogenivirga,1
Desulfobaccaceae,1
Clostridioides difficile,1
Rhizobium tubonense,1
bacterium Ellin5025,1
[Candida] fluviatilis,1
Paenibacillus sp. JCM 10914,1
Polyporales,6
Parmotrema,1
Mycosphaerella rosigena,1
Cryptosporida,1
Croceicoccus naphthovorans,1
Hirudinida,1
Lipomycetaceae,1
Lentisphaeria,3
Anoxybacillus sp. SMMA3,1
Derxomyces,2
Coscinodiscophytina,1
Acidihalobacteraceae,1
Botryosphaeriales,2
uncultured Candidatus Saccharibacteria bacterium,7
Plot4-2H12,1
Burkholderia sp. OLGA172,1
uncultured Burkholderia sp.,1
Penicillium rubens Wisconsin 54-1255,1
Frankia sp. ACN1ag,1
Labraceae,2
Pezoloma ericae,2
Pir4 lineage,3
Penicillium expansum YT02,1
Mucor endophyticus,1
Caballeronia zhejiangensis,1
Clostridium botulinum NCTC 2916,1
Geotrichum klebahnii,1
Chlorobiales,2
Cryocola sp. Enf32,1
Brevundimonas,1
Candidatus Phytoplasma solani,1
Micromonospora sp. NEAU-CF14,1
Myxogastria,2
Spirotrichea,3
Euglyphida,2
Hadarchaeota,1
Leptosphaeria,1
Cryptomonas ovata,1
Puniceispirillales,5
uncultured Rhizaria,1
Bryocella,9
Subgroup 15,2
uncultured Rhodospirillales bacterium,4
Paeniglutamicibacter,2
Planctomyces sp. SCGC AG-212-M04,1
Exiguobacteraceae,2
Hordeum vulgare,3
Nectria,1
Syntrophorhabdus,1
Saccharomyces sp. DSM 26796,1
Haplotaxida,1
Pneumocystis,1
Meliniomyces,7
Rhodospirillales bacterium URHD0088,1
Carica papaya (papaya),1
MSBL9,1
Rhodococcus yunnanensis,1
Massariaceae,2
Pedomicrobium,7
Pla4 lineage,2
Metarhiziopsis microspora,1
Streptosporangium taraxaci,1
Cardiobacteriales,1
Ipomoea nil (Japanese morning glory),2
Oligochaeta,1
Psychromonadaceae,1
Catenulisporaceae,4
Backusella variabilis,1
Thermosporothrix,2
Backusella,3
Capsicum annuum,2
Ramlibacter,2
Caldilineaceae,1
