Taxon,Count
bacterium YC-ZSS-LKJ101,1
Cuphophyllus pratensis,1
Paenibacillus sp. Root52,1
Paenibacillus sp. P3E,1
Pseudomonas aeruginosa DK2,1
Pseudomonas citronellolis,1
Geothermobacter,1
Serratia grimesii,1
Azotobacter chroococcum,1
Pseudomonas rhodesiae,1
Pseudomonas sp. B952,1
Geothermobacteraceae,1
Paenibacillus taichungensis,1
Peredibacter,1
Paenibacillus sp. TSW02,1
Bradyrhizobium ottawaense,1
Comamonas,1
Pseudomonas sp. S09G 359,1
Pseudomonas stutzeri ATCC 14405 = CCUG 16156,1
Pseudomonas sp. ps2-20,1
bacterium RS50A,1
Pseudomonas putida S11,1
Sericytochromatia,1
B1-7BS,1
Pseudomonas sp. CC9I,1
Pseudomonas trivialis,1
Pseudomonas sp. Asd M1-1,1
Methylorosula,1
bacterium Ellin332,1
