Taxon,Count
Planctomycetes,129
Planctomycetota,178
Bacteroidota,163
Sphingomonadales,62
Chlamydiales,62
Intrasporangiaceae,44
Cryobacterium sp. Hh39,2
Diplorickettsiales,20
Babeliae,28
Rhodobacterales,17
Pseudomonadales,336
Anoxybacillus,2
Streptophyta,61
SM1A02,4
Puia,2
Pycnora,2
Rhodoferax,2
JG30-KF-CM45,16
Eurotiomycetes,9
Cohnella,3
Subgroup 17,28
Gitt-GS-136,16
uncultured Microgenomates group bacterium,2
Klebsiella pneumoniae,4
Pertusaria andersoniae,2
Heteromita,16
Pedosphaeraceae,54
Pertusariaceae,2
Hyphozyma variabilis var. variabilis,2
Bryobacterales,13
Kallotenuales,2
Burkholderiales,358
CL500-29 marine group,18
Gaiellales,146
Chthoniobacterales,80
Flavitalea,2
Bdellovibrionota,35
Opitutaceae,15
Chlamydiae,62
Magnoliophyta,51
Bacteriovoracaceae,5
Caenimonas,5
Nocardioides sp. Soil797,2
Embryophyta,61
uncultured Burkholderiaceae bacterium,5
Stenotrophomonas sp. LM091,2
Chitinophagales,71
Paenibacillus sp. JAM-FM3101,2
uncultured Spartobacteria bacterium,10
Thermomicrobiales,26
Microbacterium sp. SA39,2
Thermoleophilia,344
uncultured Nitrospiraceae bacterium,2
Citrus maxima,4
Microlunatus,2
Acidobacteriales,27
Thermoanaerobaculales,7
Tepidisphaeraceae,6
S-BQ2-57 soil group,7
JGI 0001001-H03,11
Hirschia,4
Tepidisphaerales,24
Enterococcus durans,4
Actinobacteria,579
Pseudomonas sp. DDT-2,2
Nitrospira,31
Saprospiraceae,7
Methylococcales,10
Eukaryota,384
Vermiphilaceae,15
Curtobacterium sp. MCBA15_008,2
AKIW781,2
Subgroup 5,14
Hypocreales,24
uncultured fungus,13
Nitrospirota,33
Methylobacillus,3
Herminiimonas,3
Plantibacter,7
uncultured gamma proteobacterium,12
Reyranellales,5
Conexibacter,35
Exiguobacterales,2
Enterobacteriaceae,8
Mortierella,3
Xanthobacteraceae,134
Bryobacteraceae,13
Lecanicillium sp. CCF 5201,2
Mucoromycota,5
uncultured Ascomycota,3
Pycnoraceae,2
Roseobacter clade NAC11-7 lineage,2
uncultured Verrucomicrobia bacterium,26
Pyrinomonadales,81
Anoxybacillus sp. SMMA3,2
Candidatus Udaeobacter,54
Cytophagales,22
Ursidibacter arcticus,3
Rhizobacter,18
IS-44,16
WPS-2,4
Curtobacterium luteum,2
AD3,24
Mortierellaceae,3
zygomycete sp. AM-2008a,2
Cordycipitaceae,16
Klebsiella,5
Bacillaceae,181
Sphingomonadaceae,62
uncultured Rubrobacteraceae bacterium,5
Hirsutella,2
Burkholderiaceae,13
Bacillus sp. OV166,5
uncultured Planctomyces sp.,2
Parcubacteria,74
Exiguobacteraceae,2
Rhodopseudomonas,2
uncultured Acidobacteria bacterium,197
uncultured Alphaproteobacteria bacterium,22
Arthrobacter sp. RKS1-6,2
Cyanobacteriia,61
Opitutales,20
Paenibacillus amylolyticus,10
Nocardioidaceae,73
Opitutus,9
Proteobacteria,1406
Gemmatimonadetes,182
Sphingomonas,28
Tepidisphaera,4
Nitrospirales,31
uncultured Anaerolineaceae bacterium,4
S0134 terrestrial group,18
Paenibacillus sp. OK076,2
uncultured eukaryote,8
Enterococcaceae,6
uncultured Pseudomonas sp.,16
Bacillus senegalensis,3
Gaiella,32
Paenibacillus xylanexedens,27
Gemmatimonadota,207
67-14,94
Blastocatellales,32
Arthrobacter sp. Leaf69,2
Comamonadaceae,57
Nocardioides,47
Gemmata,7
Gracilibacteria,3
uncultured Solirubrobacter sp.,5
Pseudomonas sp.,11
uncultured Acidobacteriales bacterium,16
Obazoa,216
Microbacteriaceae,113
Pezizomycotina,162
Unknown Family,12
Desulfitobacteriales,24
Chloroflexi,299
Paenibacillus lactis,2
Enterobacterales,17
Pirellulaceae,62
Haliangiales,22
uncultured Xanthobacteraceae bacterium,4
Rhodococcus erythropolis,2
Cryobacterium,18
Sanguibacteraceae,3
Subgroup 10,5
Actinomycetales bacterium,2
Paenibacillus,103
Cellulomonas sp. SN7,2
Chthoniobacter,18
Ascomycota,163
Pseudomonas sp. GD100,2
S085,18
Blastocatellia,120
Hyphozyma,10
Gemmatimonadales,182
Pseudogymnoascus sp. VKM F-3808,2
Firmicutes,611
Thelebolaceae,13
uncultured Acidimicrobiales bacterium,5
Gemmatales,36
Nocardiaceae,8
uncultured Methylococcales bacterium,2
Isaria,7
Nocardioides sp. MN5-4,2
Oxalobacteraceae,19
Pseudomonas migulae,4
Oligoflexia,19
Bacilli,429
uncultured bacterium gp4,3
Pertusariales,3
Leotiomyceta Incertae Sedis,2
SAR,43
Pseudomonas arsenicoxydans,4
Pseudogymnoascus destructans,5
uncultured Intrasporangiaceae bacterium,3
Chitinophagaceae,59
Candidatus Nomurabacteria,16
Parachlamydiaceae,48
Acuticoccus,2
Cercozoa,20
Lecanicillium saksenae,3
Nitrospiraceae,31
Micrococcales,291
Rothia,3
Bdellovibrio,10
Candelariales,2
MND1,52
Omnitrophales,12
Chthoniobacteraceae,74
Streptococcus pneumoniae,11
Candidatus Daviesbacteria,5
TRA3-20,38
AKYH767,9
Stenotrophomonas,33
Exiguobacterium aurantiacum,2
Oligoflexales,4
Haliangium,22
Microbacterium oxydans,2
Sphingobacteriales,32
uncultured Bacteroidetes bacterium,13
Pseudomonas prosekii,2
Dehalococcoidia,19
uncultured Thelebolaceae,2
Micropepsales,10
LWQ8,5
uncultured Gemmatimonas sp.,10
Pasteurellaceae,3
Bradyrhizobium erythrophlei,2
Stenotrophomonas rhizophila,7
Bryobacter,13
Terrimonas,21
Holophagae,26
Cellvibrionales,4
Pseudarthrobacter,63
Bacillales,243
Pseudomonas mandelii,5
uncultured Bacillus sp.,14
Rhodococcus,5
Desulfitobacteriia,24
Plantibacter sp. Leaf314,2
Amorphea,220
Pseudomonas sp. S10724,2
Pseudarthrobacter oxydans,2
Bacillus sp. R-66633,2
Asticcacaulis,4
env.OPS 17,11
Polyangiales,30
Polaromonas,12
Babeliales,28
KD4-96,98
Solirubrobacterales,192
Planctomycetales,15
Candidatus Magasanikbacteria,5
Aquicella,7
Cellulomonas,7
Desulfitobacteriaceae,22
Kapabacteria,9
Dikarya,184
FCPU426,4
Pertusaria,2
Parengyodontium,4
Bdellovibrionia,16
Bacteria,5339
Sandaracinaceae,12
Methyloligellaceae,28
Pseudarthrobacter siccitolerans,4
Chaetothyriales,3
Arthrobacter sp. SPG23,2
SC-I-84,41
Phycisphaerales,7
BSV26,3
Nitrospiria,31
Hyphomonadaceae,11
Acidobacteriota,556
uncultured prokaryote,8
Altererythrobacter,4
Reyranella,4
Streptococcaceae,13
Caulobacterales,33
Paenibacillaceae,109
Glissomonadida,16
Incertae Sedis,21
Acidobacteriae,100
Kapabacteriales,9
Arthrobacter,18
Pseudomonas silesiensis,2
Corynebacteriales,33
Pseudomonas lini,6
metagenome,444
Pyrinomonadaceae,81
Propionibacteriales,95
Latescibacterota,17
Sporichthyaceae,23
Stenotrophomonas sp. 92mfcol6.1,2
Nucletmycea,194
uncultured beta proteobacterium,40
Candidatus Uhrbacteria bacterium RIFCSPHIGHO2_12_FULL_60_25,2
Methylobacter,6
Haliangiaceae,22
Cyanobacteria,63
Microtrichales,69
Streptococcus,12
Paenarthrobacter,2
Opisthokonta,216
Chloroplastida,119
Pedosphaerales,54
Acidimicrobiia,160
Saccharimonadales,49
Rickettsiales,46
Fungi,192
Neochlamydia sp. Trut23-12-2015_Venoge-Embouchure,2
Pseudomonas sp. KJF11-6,2
Micrococcaceae,109
Lecanoromycetes,16
Verrucomicrobiota,244
P2-11E,19
Gemmatimonas,56
Sphingobium,4
Bdellovibrionaceae,11
Vicinamibacteraceae,42
Rhodobacteraceae,17
Xanthomonadales,61
Actinotalea,3
Desulfosporosinus,22
uncultured Chitinophagaceae bacterium,6
Dependentiae,28
Gammaproteobacteria,890
Thermoanaerobaculaceae,7
Pasteurellales,3
Bradyrhizobium,25
Micropepsaceae,10
Bacillus sp. LF1,2
Xanthomonadaceae,48
Phycisphaeraceae,5
Leotiomycetes,61
Pseudomonas simiae,2
Verrucomicrobiae,169
Caulobacteraceae,22
Vicinamibacteria,286
Nitrosomonadaceae,111
Spermatophyta,54
Mortierellomycotina,3
Bacteriovoracales,5
Lineage IIa,6
Novosphingobium,4
Methylophilaceae,28
Subgroup 7,24
Pirellula,15
Rhizaria,22
Curtobacterium,28
Paecilomyces hepiali,3
Thelebolus microsporus,2
RB41,81
Archaeplastida,119
Cordyceps farinosa,2
Phycisphaerae,33
Solirubrobacteraceae,98
Alphaproteobacteria Incertae Sedis,2
uncultured Rubrobacteria bacterium,5
Pseudolabrys,31
Curtobacterium flaccumfaciens,3
Chloroflexia,37
Pirellulales,62
Ilumatobacteraceae,25
ABY1,6
Saccharimonadia,49
Ferruginibacter,9
BIrii41,5
Gemmataceae,36
Thelebolales,13
Rhizobiales Incertae Sedis,33
Pseudomonas poae,2
Diplorickettsiaceae,20
OM43 clade,3
uncultured Sphingomonadaceae bacterium,6
TK10,22
Arthrobacter sp. Lc31-7,2
Cellulomonas sp. A375-1,2
Kribbella,6
Rhizobiales,272
Lactobacillales,33
Paenibacillales,109
Pseudomonas syringae pv. pisi,2
Asticcacaulis sp. HRRK043,2
uncultured Gemmatimonadales bacterium,5
Alphaproteobacteria,514
Gaiellaceae,32
Pycnora sorophora,2
JG30-KF-CM66,12
uncultured actinobacterium,61
Ellin6067,29
Ophiocordycipitaceae,3
Bdellovibrionales,11
Thermoanaerobaculia,7
Thelebolus,3
Pseudomonas avellanae,2
Cellulomonadaceae,10
Pseudomonadaceae,331
uncultured Gemmatimonadetes bacterium,22
uncultured bacterium,2546
Rhodoplanes,21
Methylomonadaceae,10
Actinobacteriota,1126
Chloroplast,39
uncultured soil bacterium,91
SM2D12,9
Vicinamibacterales,258
Sordariomycetes,32
Pseudogymnoascus,12
Blastocatellaceae,32
Enterococcus,6
Mortierellales,3
Mitochondria,36
IMCC26256,73
Propionibacteriaceae,22
Myxococcota,71
Gemmatimonadaceae,182
Pseudarthrobacter sulfonivorans,7
Elusimicrobiota,27
Marmoricola,7
Bacteroidia,150
Phragmoplastophyta,62
Charophyta,64
Tracheophyta,59
Granulicella,14
A21b,26
Ursidibacter,3
Ammopiptanthus mongolicus,8
Exiguobacterium,2
Bauldia,26
Solirubrobacter,51
Sanguibacter,3
Omnitrophia,12
WD2101 soil group,16
Microscillaceae,17
Microgenomatia,21
Reyranellaceae,5
Frankiales,74
Desulfobacterota,35
Kryptonia,3
Oryzihumus,30
Microbacterium,19
uncultured,1035
Pseudomonas fluorescens,15
Polyangia,54
Patescibacteria,160
Kryptoniales,3
Acidobacteriaceae (Subgroup 1),23
Bacillus,160
Pseudomonas,330
