Taxon,Count
Passalora,1
Aquimonas voraii,1
Trametes versicolor,1
Methylobacterium aerolatum,1
Moraxellaceae,4
Acidicapsa,3
1174-901-12,2
Microcoleus cf. vaginatus Ru-6-12,1
Tylenchomorpha sp. Spondylis_PT,1
Candidatus Gottesmanbacteria bacterium GW2011_GWA1_34_13,1
Cordierites,1
Pseudomonas sp. R-38242,1
Sphingobacteriaceae bacterium kmd_006,1
Streptomyces seranimatus,1
Pezoloma ericae,1
Clostridiales bacterium Marseille-P2411,1
Cordyceps militaris,1
Savoryellales,1
Streptomyces luteus,1
Pantopoda,1
FCPS473,1
Pseudogymnoascus sp. VKM F-3808,1
JGI 0001001-H03,3
Rhizorhabdus dicambivorans,1
Bdellovibrio bacteriovorus,1
Bacillus sp. UKS1,1
Mycobacterium sp. Root265,1
Nocardioides sp.,1
Propionibacteriaceae,9
Spirochaetia,1
gamma proteobacterium LH197,1
Bacillus sp. SJS,1
Planococcus,1
Pilobolus roridus,1
Hirschia,1
Lactobacillus plantarum,1
Bacillus weihenstephanensis FSL H7-687,1
Ambispora fennica,1
uncultured Chitinophagaceae bacterium,5
Endomicrobium,14
S0134 terrestrial group,1
Didymella pinodella,1
Cryptosporangiaceae,3
uncultured eubacterium WD2102,1
Bacillus sp. NRRL B-14911,1
Tylenchida,10
Pilimelia columellifera,1
Halobacillus massiliensis,1
Trifolium pratense,1
Ischnamoeba,2
Plectosphaerellaceae,1
Parmeliaceae,1
Frankia sp. Iso899,1
Synechocystis PCC-6803,1
Collema furfuraceum,1
Choanoflagellida,2
P9X2b3D02,1
Spongospora subterranea,1
Pneumocystidaceae,1
Aphelidea,3
Erythranthe guttata (spotted monkey flower),1
Phaeosphaeriaceae,5
Polymorphospora,1
Parasediminibacterium,1
Kocuria sp. NE2TTS12,1
Dactylosporangium,9
Arthrobacter sp. V24,1
Paenibacillus sp. IHBB 10380,1
Plantactinospora sp. KBS50,1
Enterobacter cloacae,2
Penicillium chrysogenum,2
Mucor sp. BMC2,1
Serpulaceae,1
Stictis populorum,1
bacterium NLAE-zl-C132,1
Streptosporangiales Incertae Sedis,1
Asclepias tuberosa,1
Calycina,1
Nocardioides sp. Root224,1
Kraken,3
Gibellula sp. BCMU GP01,1
Desulfitibacteraceae,1
Nitrosococcaceae,1
Haptophyta,3
Streptacidiphilus sp. FXJ1.468,1
uncultured eubacterium WD275,1
Rhizomucor,2
Propionibacteriaceae bacterium H7p,1
CL500-29 marine group,7
Helvella,1
Parafavella subrotundata,1
Micromonospora sp. NEAU-gxj7,1
Mycobacterium sp. QGD 101,1
Mycoplasma sp.,1
Isosphaera-like str. CJuql1,1
Pyrenochaeta nobilis,1
Desulfatiglandales,2
Lactarius deceptivus,1
Candidatus Hamiltonella,2
Lactococcus,1
Methyloferula,1
uncultured Caulobacter sp.,1
Thermovenabulales,1
Schlesneria,9
Endogonaceae,2
Coleoptera,3
Lepidostromatales,1
Catenuloplanes crispus,1
Sterigmatomyces,1
Candida lignicola,1
Flabellinia,2
Desulfobaccaceae,1
Isochrysis,1
Sorangium cellulosum So ce56,1
Cladosporium sp. CBS 280.49,1
Erythrobacter sp.,1
Metarhizium carneum,1
Succiniclasticum,1
SHA-26,1
Parachlamydiaceae bacterium HS-T3,1
uncultured stramenopile,1
Ophiocordycipitaceae,3
Pseudomonas alkylphenolica,1
Robbsia,1
Methylocella,3
Cellulomonas,3
Frankiales bacterium,1
Planctomyces sp.,1
uncultured Choanoflagellida,1
Tyromyces,1
Pseudokeronopsis rubra,1
Variovorax,3
Pseudomonas plecoglossicida,1
Fusobacteriales,1
Zoantharia,1
Camellia reticulata,1
Pyronemataceae,1
Microlunatus,2
uncultured Burkholderia sp.,5
Lobosporangium transversale,1
Parmotrema internexum,1
Fibrobacteria,1
Thermoactinomycetales,4
Mycobacterium conceptionense,1
Echinochloa colona,1
Oxalobacteraceae bacterium HRT30,1
Bacillus sp. MUM 116,1
Polycystinea,1
Seltsamia ulmi,1
proteobacterium Ellin181,1
Staphylococcus,9
Tardigrada environmental sample,1
Acidaminococcales,1
Orbiliaceae,1
Bacteroidaceae,1
Mortierella alpina,1
Pseudonocardia sp. CNS-139,1
Rhizopodaceae,4
Angustibacter aerolatus,1
Aeromonadaceae,2
Cystobasidiopsis,1
Nitrososphaerales,1
Burkholderia stabilis,1
bacterium enrichment culture clone EBa8,1
Lichinales,1
Thiothrix,1
Micromonospora sediminimaris,1
Hyphomonas sp. CY54-11-8,1
Cyanobium sp. CZS_13D,1
Thiohalorhabdus,1
Ochrobactrum anthropi,1
Cenococcum geophilum 1.58,1
Thermomyces,1
Acidaminococcaceae,1
Allovahlkampfia,1
Nocardiopsis,1
Actinomycetales bacterium,1
Fonsecaea multimorphosa,1
Dicranophora,1
Lactarius lignyotus,1
uncultured Paenibacillus sp.,3
candidate division TM6 bacterium GW2011_GWA2_36_9,1
Imbricatea,2
Gallus gallus (chicken),1
Stereum hirsutum,1
Mycobacterium austroafricanum,1
Holospora caryophila,3
Tolypocladium sp. Sup5 PDA-1,1
Acantharia,3
Mycobacterium sp. 852013-50091_SCH5140682,1
Sphingobacteriales bacterium 39-19,1
Phytohabitans,6
Lecanora strobilina,1
uncultured Geoalkalibacter sp.,1
Planococcus plakortidis,1
Candidatus Protochlamydia naegleriophila,1
Mortierella wolfii,1
Luteitalea pratensis,1
Brigantiaeaceae,1
Oxytricha paragranulifera,1
Bacillus sp. 19498,1
Desulfuromonadaceae,1
Imshaugia aleurites,1
Actinomyces radicidentis,1
Mycobacterium sp. PYM7-16,1
Phthirusa pyrifolia,1
Mycobacterium barrassiae,1
Jatrophihabitans endophyticus,1
Methyloligellaceae,2
Aster yellows phytoplasma I-P,1
uncultured Dacrymycetaceae,1
Tetracladium,3
Bacillus sp. JCA,2
Anthozoa,2
Caedibacter taeniospiralis,1
Ascochyta medicaginicola,1
Parvibaculales,1
Proteus,1
Cannabis sativa (hemp),1
Marinobacter algicola,1
Erwiniaceae,5
Haplotaxida,1
Capnodiales,13
Brettanomyces,1
Planctomycetales bacterium Ellin7224,1
Geoglossum,1
Auriculariaceae,1
Dendrochytridium,1
Mycobacterium sp. CAR-SN13W,1
Streptomyces drozdowiczii,1
Chlorobium,1
JG30-KF-CM45,4
Nicotiana sylvestris (wood tobacco),1
Cestoda,6
uncultured Nitrospirae bacterium,1
Hexapoda,8
Ustilaginomycotina,1
Asanoa,8
Maxillopoda,1
Arthropoda,17
Dunaliella sp. 'Atacama',1
Ebria,2
Herpotrichiellaceae,7
Woeseia oceani,1
Leucoagaricus,2
Dothidea,1
Acidobacterium,1
Nitriliruptoraceae,1
Clostridium sensu stricto 3,1
Tubulinea,2
Blastocladiales,3
Beggiatoales,1
Iamiaceae,2
Alicyclobacillaceae,1
Bacillus sp. B53S,1
Methylovirgula,1
Cercomonadidae,16
Actinoplanes sp. MN08-A0204,1
Phacidiopycnis washingtonensis,1
Meliniomyces,4
Botrytis cinerea,1
Bacillus thuringiensis,5
Rugosomyces,1
Pseudomonas sp. RC5.5,1
Brevibacillus parabrevis,1
Lysinibacillus,1
Bacillus sp. Bt 27,1
uncultured Microgenomates group bacterium,2
Agrostis gigantea,1
[Cyathicula] microspora,1
Methylobacterium-Methylorubrum,3
Pseudomonas sp. NF20,1
Subgroup 23,1
Bisporella citrina,1
uncultured Gemmatimonadaceae bacterium,1
Paludisphaera borealis,1
Schizosaccharomycetes,3
Trichosporon asahii var. asahii CBS 2479,1
Alcaligenaceae,4
Tolypocladium inflatum,1
Bergeyella,1
Coriobacteriia,2
Athelia epiphylla,1
ODP1230B23.02,1
Actinoplanes sp. FTC14,1
Bacillus subtilis subsp. spizizenii,1
Candidatus Protochlamydia,4
Verrucomicrobium sp. GAS474,1
Eubacteriaceae,1
Krefftascaris sharpiloi,1
bacterium Ellin5091,1
Cyclobacteriaceae,1
Acidobacteriaceae bacterium A2-4c,1
Nostocoida limicola III,2
Nitrospinaceae,3
Laceyella,1
Diaminobutyricimonas,1
Agrobacterium rubi,1
Chlorophyta,12
Gonyaulax,1
Obscuribacteraceae,3
Choreotrichia,1
Colpodidium,1
Candidatus Azambacteria,3
Paenibacillus borealis,3
Bivalvulida,1
Aspergillus,1
Geobacteraceae,2
uncultured Prosthecobacter sp.,2
Terrimicrobium sacchariphilum,1
Zoopagomycotina,1
Solirubrobacterales bacterium 67-14,1
Salix oreinoma,1
Gaiella,12
Aneurinibacillus tyrosinisolvens,1
Staphylococcus aureus subsp. aureus ST398,1
Tomentella sp. AFTOL-ID 1016,1
Nitrospinota,4
Sarcodon,1
Paenibacillus sp. BJC15-C18,1
