Taxon,Count
uncultured gamma proteobacterium,38
Phycisphaerales,25
uncultured Myxococcales bacterium,10
Micrococcales,326
Stenotrophomonas rhizophila,6
Rhodanobacter sp. OK091,2
Verrucomicrobiota,452
Bacillus firmus,3
Dongiales,10
Fibrobacterota,12
Mortierellomycotina,6
Xanthomonadales,221
gamma proteobacterium CH23i,2
Candidatus Omnitrophus,20
Rahnella sp. ERMR1:05,2
uncultured Nitrospira sp.,4
Planctomycetota,334
Cellulomonas,21
uncultured Xanthobacteraceae bacterium,3
Gemmatimonadota,241
Gemmatimonadetes,230
uncultured Gemmatimonadales bacterium,8
uncultured Spartobacteria bacterium,14
37-13,6
Methylacidiphilaceae,8
Brevibacillus,16
Vicinamibacteraceae,24
Pseudomonas fluorescens NCIMB 11764,2
Cellulomonas sp. Asd M7A1,2
Enterococcus,9
uncultured Acidimicrobiia bacterium,4
Candidatus Solibacter,63
IS-44,8
Pseudarthrobacter sulfonivorans,2
Fibrobacteraceae,10
Rhodobacterales,16
uncultured Nocardioides sp.,3
Mucoromycota,7
Rhodanobacter sp. DCY112,2
Pseudomonas thivervalensis,2
Sumerlaeales,8
Dehalococcoidia,40
Cellulomonas cellasea,2
Saccharimonadia,42
Nitrobacter,3
Rhodanobacter sp. A2-59,2
Caulobacterales,57
Eukaryota,276
Pseudomonas syringae pv. pisi,2
Nucletmycea,110
Oligoflexales,5
uncultured,1398
Pseudomonas frederiksbergensis,3
Fibrobacterales,11
Chthoniobacterales,162
Variovorax,14
Pseudomonas sp. R1enr,2
Dongia,10
Obazoa,145
Comamonadaceae,99
Fibrobacteria,11
uncultured Gemmatimonadetes bacterium,23
Frankiales,74
Corynebacteriales,29
uncultured Caldilineaceae bacterium,3
Latescibacterota,26
Polyangia,151
uncultured Acidobacterium sp.,3
Bacillus sp. EC15,2
Falsibacillus,7
Sphingomonadaceae,55
Serratia symbiotica,6
uncultured Pseudomonas sp.,15
Nakamurella,28
Rhizobiales,463
Acidobacteriales,42
Frateuria sp. ECP39,2
Nitrospira,36
Blastocatellales,16
AD3,3
Omnitrophales,30
Phycisphaerae,107
Lactobacillales,33
Bacillus sp. FJAT-22090,2
Microtrichales,67
Intrasporangiaceae,51
Solirubrobacteraceae,99
Chloroflexi,381
Subgroup 22,9
Sphingomonadaceae bacterium Gsoil 359,2
Klebsiella pneumoniae,5
Paenibacillus lactis,2
Bauldia,58
Psychrobacillus sp. OK028,2
