Taxon,Count
Kineosporia sp. OTSz_A_216,1
Acetobacterium sp. enrichment culture clone 06-1235251-118,1
Phycicoccus sp. Soil802,1
Helotiaceae,1
Animalia,30
Ansanella,1
Coriobacteriales,2
Pseudostichococcus monallantoides,1
Curtobacterium sp. K6-02,1
Terrabacter sp. 2APm3,1
Silicofilosea,2
bacterium m5,1
Defluviitaleaceae UCG-011,1
Thermomonas,1
Trichoderma sp. SP-4,1
OM43 clade,2
Clostridium sp. enrichment culture clone HT28,1
Hylemonella,1
Tropicibacter,1
Caldilineales,5
Tessaracoccus,2
Paeniglutamicibacter,1
Patulibacter minatonensis,1
Candidatus Amphibiichlamydia salamandrae,1
Streptomyces cirratus,1
Hypocreales sp. MF489,1
Sarocladium,2
Euglenida,2
Williamsia,1
Streptomyces sp. EAGB03,1
Streptomycetales,36
Legionellales,11
Parvibium,1
uncultured Planctomycetia bacterium,1
Colletotrichum,2
Sphingopyxis sp. MC1,1
Cellulomonas bogoriensis 69B4 = DSM 16987,1
Phycicoccus,7
NS5 marine group,1
Thermocrinis,1
Candidatus Berkiella,5
Ancylobacter sp. Bmb4,1
Micavibrio,1
Synergistia,2
LD1-PA32,1
Haloarcula,1
Bradyrhizobium lablabi,1
Crenarchaeota,5
Conexibacter arvalis,1
uncultured Candidatus Dependentiae bacterium,1
Rhodococcus sp. Pc2F,1
Clavibacter insidiosus,1
Ectocarpales,1
Trichosporonaceae,1
LD29,1
uncultured Porphyromonas sp.,1
Arthrobacter pascens,1
Mollusca,2
Domibacillus,1
Kathablepharidae,1
GOUTA6,6
Streptococcus anginosus,1
Hyphozyma,1
Agromyces cerinus,1
Pseudonocardiaceae,10
Isaria,1
Gemmata sp. Ha1-6,1
Mycosphaerellaceae,2
Paucibacter,1
Combea,1
Tricladida,1
Lachnospiraceae,16
Knoellia,1
Rosellinia necatrix,1
Methylobacillus,1
Candidatus Falkowbacteria,1
Acidihalobacteraceae,1
Desulfobulbaceae,3
Clostridium argentinense,1
Streptomyces sp.,4
PAUC26f,1
Candidatus Annamoxoglobus,1
Nocardioides salarius,1
[Mycoplasma] group,1
Oxytricha longigranulosa,1
JG30-KF-CM45,29
Pedococcus cremeus,1
Golenkinia longispicula,1
Kocuria sp. UCD-OTCP,1
Stolidobranchia,1
Hypocreales sp. WIN(M)1458,1
Thermotoga,1
Acidobacteria bacterium JGI 0001001-H03,1
magnetic coccus MP17,1
Polaromonas sp. DAB_7Ecl,1
Streptomyces sp. QZGY-A23,1
Actinomyces sp. S6-Spd3,1
Pseudanabaena sp. CZS_47H,1
Verrucomicrobia bacterium ADurb.Bin063,1
Rhodanobacter sp. AgPiMm2-8,1
Frigoribacterium,1
Acanthopleuribacterales,1
Azospirillum,2
Cellulomonas sp. KAR13,1
Sordariomycetes,35
Pseudomonas sp. Cma1,1
Desulfuromusa,1
uncultured Chloroflexaceae bacterium,3
URHD0088,1
Pseudomonas sp. HC3-7,1
Pelolinea,1
uncultured Fulvivirga sp.,1
Brevibacterium sp. CanS-13,1
Sphaerisporangium,1
Woesearchaeales,2
Pseudomonas sp. W15Feb15,1
bacterium NLAE-zl-C141,1
Arthrobacter psychrolactophilus,1
KF-JG30-B3,15
Pucciniomycetes,1
Parachlamydia sp. C2,1
Pseudomonas sp. NBFPLSNG_RAS226,1
Endomicrobia,15
Sclerotinia borealis,1
Pseudanabaenales,5
Arthrobacter sp. SPG23,1
Intramacronucleata,23
Arthrobacter sp. I_GA_A_3_15,1
Proteus,1
Neobodo designis,2
Thermosediminibacter,1
Nakamurella sp. s14-144,1
Cnuella takakiae,1
Magnetococcus,2
Clostridium botulinum Bf,2
Parcubacteria bacterium RAAC4_OD1_1,1
Aspergillus nidulans,1
966-1,1
Ktedonobacteraceae,1
Leifsonia shinshuensis,2
bacterium Ellin5012,1
Nanoarchaeia,2
Nocardiopsis,2
Tunicata,1
Methylocapsa,2
Pseudomonas sp. S58,1
Clostridium sp. C5S18,1
Sporosarcina ureae,1
Paludisphaera,1
uncultured Chitinophagaceae bacterium,6
Dermacoccus,1
Kiloniellaceae,1
uncultured Psychrobacter sp.,1
Pseudomonas sp. TPD08,1
Mycoplasma phocae,1
Thraustochytriidae sp. SEK 706,1
Taraxacum officinale,1
Cryobacterium luteum,1
Cadophora sp. ICMP 18087,1
Mesorhizobium,5
Ophiostoma carpenteri,1
Mycobacterium intracellulare subsp. yongonense,1
OM60(NOR5) clade,2
MBMPE27,1
uncultured Rhodoplanes sp.,1
Variovorax sp. PAMC 28711,1
Dothideales,2
Psychrobacillus soli,2
Spirochaetia,5
Blfdi19,1
Nitrososphaeria,1
Candidatus Nomurabacteria bacterium RIFOXYB1_FULL_36_10,1
AKYG1722,7
MB11C04 marine group,1
Massilia,7
Bilateria,28
Peritrichia,1
Dermabacteraceae,2
Plantactinospora,3
Paraoerskovia,1
Aphelidium,1
Cystobasidiaceae,1
Pseudomonas sp. F(2012b),1
Lactobacillus ruminis,1
Waddliaceae,1
Pseudomonas sp. Alb1,1
Clostridium sensu stricto 12,5
WPS-2,5
Terrimonas lutea,1
Candidatus Magasanikbacteria bacterium RIFCSPHIGHO2_02_FULL_50_9b,1
Sphingomonas sp. URHD0057,1
Mesorhizobium loti,1
Telotrochidium,1
Jatrophihabitans,7
Rhodospirillaceae,3
Aerococcus urinaeequi,1
Dictyotales,1
Scuticociliatia,2
IMCC26134,1
Alteromonadaceae bacterium LA13,1
Pasteurellaceae,4
Thermotogaceae,1
Clostridium perfringens CPE str. F4969,1
Euamoebida,1
Zea mays subsp. mays (maize),1
Hafnia paralvei,1
Lecanorales,1
Eurotiomycetes,4
Schuchertinia reticulata,1
Candidatus Protochlamydia amoebophila UWE25,1
Fusicatenibacter,1
Acetobacterium sp. LS2,1
Micrococcaceae bacterium SAP42_2,1
Waddlia chondrophila WSU 86-1044,1
Parvibaculaceae,1
uncultured candidate division OS-K bacterium,2
Sulfobacillus thermosulfidooxidans,1
Rhizobium leguminosarum bv. viciae,1
Arthrobacter sp. 2,1
Candidatus Mesochlamydia elodeae,1
Ochrobactrum,2
Gnathostomata,2
Lactobacillaceae,7
Arctic sea ice bacterium ARK10157,1
Vampirivibrionia,4
Methyloceanibacter,6
Thermosediminibacter litoriperuensis,1
Pseudomonas prosekii,1
Candidatus Peregrinibacteria,5
Clostridium drakei,1
Agreia,1
Nitrosomonas sp. Nm58,1
Streptomyces,34
Lenti-02,1
Meloidogyne incognita (southern root-knot nematode),1
Clostridioides difficile CD196,1
Staphylococcus aureus subsp. aureus ST398,1
Rhynchosporium orthosporum,1
Hydatigera parva,1
Rhizobium sp. P44RR-XXIV,1
Pseudomonas sp. GmFRB105,1
Kiloniellales,2
Subgroup 20,1
Kitasatospora arboriphila,1
Myxococcus sp. 142B01,1
Pseudomonas sp. B48,1
Thermicanus,1
CCD24,1
Longamoebia,1
Sporichthya polymorpha,1
Kineosporiales,19
Saccharomycetes,1
Microbulbifer sp. GB02-19,1
Morosphaeriaceae,1
Solirubrobacter sp. L64,1
Gonyaulacales,1
uncultured forest soil bacterium,5
psychrophilic marine bacterium PS32,1
UCG-002,1
Oxyphotobacteria Incertae Sedis,2
Yonghaparkia sp. J54CQ1,1
Paenarthrobacter,1
uncultured Nucleariidae,1
Marisediminicola,1
Methylibium,2
Rhizobium sp. NBRC 101871,1
Vibrio anguillarum 775,1
Fulvimonas,1
Ecdysozoa,13
uncultured Cryptomycota,1
Roseisolibacter,7
mle1-27,3
bacterium enrichment culture clone heteroA69_4W,1
Planctopirus,2
Acidimicrobiaceae,1
uncultured Geobacter sp.,1
Latrodectus geometricus (brown widow),1
Actinokineospora,1
Candidatus Protochlamydia,10
Emticicia sp.,1
Clostridia UCG-014,1
uncultured Acetobacterium sp.,1
Chlamydiales,68
DEV008,2
bacterium enrichment culture clone heteroA74_4W,1
Ottowia,1
Lentisphaerae bacterium RIFOXYC12_FULL_60_16,1
Microcystaceae,1
Lachnospiraceae NK4A136 group,1
actinobacterium MH1-1,1
uncultured Coxiellaceae bacterium,1
Alicyclobacillus,1
Paradevosia,2
Staphylococcus epidermidis,1
actinobacterium R-36375,1
Pseudomonas sp. RKS7-4,1
Pseudomonas synxantha,1
PLTA13,4
Arthrobacter sp. YC-RL1,1
Nitrosospira sp. Ka3,1
uncultured low G+C Gram-positive bacterium,1
Candidatus Tammella,1
Leifsonia,8
Acetothermiia,1
Bacillus pumilus,2
Thermotogales,1
Flavihumibacter sp. CACIAM 22H1,1
Sphingomonas indica,1
Aeromicrobium sp. Root236,1
Parachlamydiaceae bacterium CRIB38,1
Streptomyces lincolnensis,3
Cadophora orchidicola,2
Streptococcus pseudopneumoniae,1
Bacillus coagulans,1
Microlunatus sp.,1
Longimycelium,1
Salinivibrio costicola,1
MAST-12,1
Savoryella verrucosa,1
TK10,35
Synechococcales,5
Brevibacillus sp. NHI-12T,1
CPla-3 termite group,6
beta proteobacterium AAP51,1
Janibacter melonis,1
Micromonosporales,24
Mesorhizobium amorphae CCNWGS0123,1
Clostridia,134
Solirubrobacter,49
Acidobacteria bacterium WX72,1
Pseudomonas sp. KQ3,1
Bryophrya gemmea,1
Rickettsia,2
Pseudonocardiales,10
Spirotrichea,14
Desulfobacterales,5
Actinocorallia,2
Devosia neptuniae,1
Nitratireductor,1
Dojkabacteria,1
Bartonella volans,1
Lacunisphaera,2
Cystobasidiales,2
Arthrobacter sp. Soil763,1
Nectriaceae,5
Ammopiptanthus mongolicus,6
Pseudomonas grimontii,1
Sarocladium bacillisporum,1
Oryza sativa Indica Group (long-grained rice),1
Subgroup 15,1
Candidatus Tenderia,1
UBA12411,1
Saccharomycotina,1
Flavobacterium,6
