All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                                                    # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  GC (%)  N50   N75  L50     L75     # N's per 100 kbp
DTU_2021_1010100_1_MG_Nuuk_ID116_S2_StV23B_5_10_out2_S0_L001_scaffolds      2293909              72579                   1065                    318                      68                       13                       1015703184              115128433                  11252179                   6320704                     2638175                     788317                      484435     86473           384338680     62.70   753   595  162611  307340  33.33            
DTU_2021_1010012_1_MG_Nar_ID18_SFB_P5_5_10_S0_L001_scaffolds                2405473              107694                  2376                    521                      94                       46                       1128704092              190180353                  28575878                   16182505                    10149490                    8568030                     554421     692906          485096675     63.43   840   622  165109  335197  41.59            
DTU_2021_1010067_1_MG_Nuuk_ID81_S1_StV23C_5_10_out2_S0_L001_scaffolds       2419515              171355                  8377                    1891                     245                      84                       1302181869              354026778                  80546589                   37240519                    14369544                    8729511                     678431     564849          692488727     60.70   1023  673  163659  376712  37.05            
DTU_2021_1010184_1_MG_Nuuk_ID207_S4_StV26A_0_5_inf3_S0_L001_scaffolds       2129375              165597                  7213                    1854                     434                      130                      1169242775              350704357                  78490583                   43127093                    22573198                    12277564                    583642     520481          630555777     60.83   1131  701  132228  313508  60.06            
DTU_2021_1010216_1_MG_Ser_ID454_0_Cli1_S0_L001_scaffolds                    3110397              288760                  17323                   5305                     1320                     516                      1907065595              695975295                  225493477                  144737470                   87195826                    59620148                    965455     1210366         1151752991    62.89   1296  744  182489  485143  72.99            
DTU_2021_1010143_1_MG_Nuuk_ID161_S3_StV24A_51_5955_mid12_S0_L001_scaffolds  1703100              180527                  13593                   4427                     1053                     360                      1132725293              480363339                  178160884                  116484128                   66424105                    42986455                    541054     956405          723716802     64.02   1618  812  85495   250106  82.91            
DTU_2021_1010148_1_MG_Nuuk_ID166_S3_StV24A_63_7165_mid17_S0_L001_scaffolds  1467302              124635                  9134                    3295                     907                      321                      908493947               337259334                  134064198                  94607653                    59015996                    39153205                    438216     964336          546796126     63.31   1405  746  70009   209806  36.11            
DTU_2021_1010197_1_MG_Nuuk_ID220_S4_StV26A_5_10_inf16_S0_L001_scaffolds     2843019              202874                  10227                   2735                     473                      148                      1540609504              431610393                  107621153                  57522193                    25408252                    14714588                    785527     408599          820799355     61.71   1055  682  182211  429700  72.34            
DTU_2021_1010173_1_MG_Nuuk_ID191_S5_StNuuk_70_mid21_S0_L001_scaffolds       1748741              155202                  8330                    2130                     415                      167                      1036704507              361762348                  104767883                  63458538                    38835029                    30538946                    517717     1082351         605061369     61.23   1273  734  102350  263712  37.28            
DTU_2021_1010144_1_MG_Nuuk_ID162_S3_StV24A_59_6360_mid13_S0_L001_scaffolds  1851688              200675                  18231                   6855                     2001                     745                      1317224396              601054976                  275137786                  197477959                   125288440                   82364806                    615412     856552          881203882     63.78   1829  839  77690   266213  58.55            
DTU_2021_1010219_1_MG_Ser_ID457_0_Cli4_S0_L001_scaffolds                    1825911              154318                  8260                    2201                     299                      87                       1045380198              337959617                  87131667                   46634122                    19909619                    12865645                    534232     1031996         592785630     62.86   1173  713  115819  282206  49.30            
DTU_2021_1010001_1_MG_Nar_ID2_SFA_P1_5_10_S0_L001_scaffolds                 2239835              128794                  3967                    404                      6                        1                        1102265941              237515152                  28287243                   5296105                     212257                      57730                       542858     57730           511778177     60.39   934   646  147823  315490  42.55            
DTU_2021_1010095_1_MG_Nuuk_ID111_S2_StV23B_5_10_inf8_S0_L001_scaffolds      2593151              148756                  5012                    1287                     196                      37                       1301984950              283251895                  53105003                   28142980                    12688980                    7357627                     666012     2936230         626676397     63.15   917   644  180209  387494  37.16            
DTU_2021_1010135_1_MG_Nuuk_ID153_S3_StV24A_19_4130_mid4_S0_L001_scaffolds   2143463              155099                  7881                    2207                     450                      126                      1170633652              333914614                  85809632                   47426095                    22288088                    11185225                    592631     608614          625924937     61.29   1074  685  134864  321651  43.76            
DTU_2021_1010063_1_MG_Nuuk_ID77_S1_StV23C_0_5_inf9_S0_L001_scaffolds        2211953              99350                   2150                    486                      27                       0                        1030583950              167695046                  18257955                   7111689                     817865                      0                           506285     47467           435948806     60.79   831   619  154804  308785  31.64            
DTU_2021_1010209_1_MG_Ser_ID446_0_5_Sed1_S0_L001_scaffolds                  2179088              142233                  6402                    2009                     656                      288                      1180362215              322805499                  98895838                   69498648                    49734002                    36905773                    593137     1207607         622890168     62.57   1039  674  131082  321565  44.17            
DTU_2021_1010119_1_MG_Nuuk_ID137_S3_StV24A_0_5_inf9_S0_L001_scaffolds       2014828              113792                  4042                    1294                     434                      236                      1031993215              245960236                  67914839                   49518696                    36879188                    29869860                    503716     628108          504292736     62.98   975   656  120059  281167  36.36            
DTU_2021_1010073_1_MG_Nuuk_ID87_S1_StV23C_5_10_out8_S0_L001_scaffolds       1761368              51983                   2314                    499                      84                       37                       780473188               104321278                  25342696                   13277591                    7574760                     5953135                     331511     608765          285468489     58.17   792   602  95599   200461  10.61            
